Date, Open, High, Low, Close, Volume, Open Interest
2021-05-24, o-126.94, h-127.02, l-126.94, c-127.02, v-748, oi-0.0
2021-05-24, o-127.02, h-127.02, l-126.92, c-126.94, v-651, oi-0.0
2021-05-24, o-126.99, h-126.99, l-126.99, c-126.99, v-174, oi-0.0
2021-05-24, o-127.08, h-127.11, l-127.08, c-127.11, v-207, oi-0.0
2021-05-24, o-127.01, h-127.01, l-127.01, c-127.01, v-102, oi-0.0
2021-05-24, o-127.05, h-127.05, l-127.05, c-127.05, v-140, oi-0.0
2021-05-24, o-127.02, h-127.03, l-126.99, c-126.99, v-570, oi-0.0
2021-05-24, o-126.96, h-126.96, l-126.92, c-126.92, v-200, oi-0.0
2021-05-24, o-126.81, h-126.81, l-126.8, c-126.8, v-200, oi-0.0
2021-05-24, o-126.79, h-126.85, l-126.75, c-126.77, v-987, oi-0.0
2021-05-24, o-126.79, h-126.81, l-126.79, c-126.81, v-383, oi-0.0
2021-05-24, o-126.7, h-126.7, l-126.62, c-126.62, v-370, oi-0.0
2021-05-24, o-126.69, h-126.69, l-126.65, c-126.65, v-539, oi-0.0
2021-05-24, o-126.62, h-126.62, l-126.51, c-126.51, v-483, oi-0.0
2021-05-24, o-126.5, h-126.5, l-126.42, c-126.42, v-582, oi-0.0
2021-05-24, o-126.52, h-126.52, l-126.52, c-126.52, v-203, oi-0.0
2021-05-24, o-126.57, h-126.62, l-126.57, c-126.6, v-570, oi-0.0
2021-05-24, o-126.51, h-126.57, l-126.51, c-126.55, v-610, oi-0.0
2021-05-24, o-126.55, h-126.55, l-126.47, c-126.53, v-2235, oi-0.0
2021-05-24, o-126.455, h-126.47, l-126.27, c-126.33, v-2484, oi-0.0
2021-05-25, o-127.11, h-127.38, l-126.95, c-127.04, v-864, oi-0.0
2021-05-25, o-126.77, h-126.81, l-126.66, c-126.81, v-858, oi-0.0
2021-05-25, o-126.785, h-126.88, l-126.64, c-126.64, v-928, oi-0.0
2021-05-25, o-126.66, h-126.89, l-126.66, c-126.89, v-231, oi-0.0
2021-05-25, o-126.36, h-126.57, l-126.36, c-126.57, v-239, oi-0.0
2021-05-25, o-126.71, h-126.71, l-126.53, c-126.58, v-537, oi-0.0
2021-05-25, o-126.6, h-126.68, l-126.6, c-126.68, v-606, oi-0.0
2021-05-25, o-126.74, h-126.78, l-126.7, c-126.71, v-533, oi-0.0
2021-05-25, o-126.555, h-126.555, l-126.54, c-126.54, v-336, oi-0.0
2021-05-25, o-126.55, h-127.045, l-126.55, c-127.045, v-1288, oi-0.0
2021-05-25, o-127.02, h-127.05, l-126.93, c-127.05, v-547, oi-0.0
2021-05-25, o-127.05, h-127.12, l-126.72, c-126.72, v-808, oi-0.0
2021-05-25, o-126.81, h-126.89, l-126.71, c-126.89, v-354, oi-0.0
2021-05-25, o-126.97, h-127.23, l-126.97, c-127.195, v-613, oi-0.0
2021-05-25, o-127.31, h-127.31, l-127.31, c-127.31, v-201, oi-0.0
2021-05-25, o-127.23, h-127.23, l-127.2, c-127.2, v-208, oi-0.0
2021-05-25, o-127.29, h-127.35, l-127.29, c-127.35, v-267, oi-0.0
2021-05-25, o-127.35, h-127.375, l-127.11, c-127.15, v-1206, oi-0.0
2021-05-25, o-127.08, h-127.21, l-127.08, c-127.21, v-1297, oi-0.0
2021-05-25, o-127.19, h-127.35, l-127.15, c-127.35, v-838, oi-0.0
2021-05-25, o-127.06, h-127.1, l-127.05, c-127.07, v-665, oi-0.0
2021-05-25, o-127.08, h-127.21, l-127.08, c-127.18, v-539, oi-0.0
2021-05-25, o-127.23, h-127.23, l-127.05, c-127.12, v-469, oi-0.0
2021-05-25, o-127.16, h-127.21, l-127.02, c-127.16, v-1177, oi-0.0
2021-05-25, o-127.19, h-127.19, l-127.09, c-127.09, v-378, oi-0.0
2021-05-25, o-127.17, h-127.17, l-127.05, c-127.07, v-354, oi-0.0
2021-05-25, o-127.34, h-127.41, l-127.34, c-127.41, v-400, oi-0.0
2021-05-25, o-127.325, h-127.53, l-127.16, c-127.53, v-838, oi-0.0
2021-05-25, o-127.64, h-127.64, l-127.565, c-127.58, v-307, oi-0.0
2021-05-25, o-127.785, h-127.85, l-127.785, c-127.83, v-306, oi-0.0
2021-05-25, o-127.79, h-127.79, l-127.585, c-127.585, v-535, oi-0.0
2021-05-25, o-127.655, h-127.655, l-127.655, c-127.655, v-144, oi-0.0
2021-05-25, o-127.59, h-127.59, l-127.42, c-127.42, v-1015, oi-0.0
2021-05-25, o-127.515, h-127.515, l-127.4, c-127.4, v-404, oi-0.0
2021-05-25, o-127.39, h-127.41, l-127.365, c-127.41, v-527, oi-0.0
2021-05-25, o-127.51, h-127.57, l-127.51, c-127.57, v-407, oi-0.0
2021-05-25, o-127.41, h-127.41, l-127.41, c-127.41, v-163, oi-0.0
2021-05-25, o-127.37, h-127.37, l-127.37, c-127.37, v-133, oi-0.0
2021-05-25, o-127.4, h-127.4, l-127.4, c-127.4, v-100, oi-0.0
2021-05-25, o-127.305, h-127.37, l-127.26, c-127.37, v-780, oi-0.0
2021-05-25, o-127.28, h-127.28, l-127.28, c-127.28, v-100, oi-0.0
2021-05-25, o-127.23, h-127.23, l-127.23, c-127.23, v-217, oi-0.0
2021-05-25, o-127.26, h-127.43, l-127.26, c-127.43, v-233, oi-0.0
2021-05-25, o-127.5, h-127.5, l-127.49, c-127.49, v-314, oi-0.0
2021-05-25, o-127.48, h-127.48, l-127.48, c-127.48, v-133, oi-0.0
2021-05-25, o-127.43, h-127.56, l-127.43, c-127.56, v-350, oi-0.0
2021-05-25, o-127.45, h-127.56, l-127.45, c-127.52, v-464, oi-0.0
2021-05-25, o-127.48, h-127.48, l-127.48, c-127.48, v-200, oi-0.0
2021-05-25, o-127.53, h-127.53, l-127.53, c-127.53, v-118, oi-0.0
2021-05-25, o-127.62, h-127.67, l-127.62, c-127.67, v-206, oi-0.0
2021-05-25, o-127.78, h-127.78, l-127.445, c-127.445, v-408, oi-0.0
2021-05-25, o-127.46, h-127.46, l-127.35, c-127.35, v-734, oi-0.0
2021-05-25, o-127.325, h-127.53, l-127.325, c-127.53, v-436, oi-0.0
2021-05-25, o-127.47, h-127.56, l-127.41, c-127.54, v-1167, oi-0.0
2021-05-25, o-127.54, h-127.57, l-127.52, c-127.53, v-596, oi-0.0
2021-05-25, o-127.43, h-127.51, l-127.39, c-127.45, v-1529, oi-0.0
2021-05-25, o-127.57, h-127.57, l-127.25, c-127.25, v-1525, oi-0.0
2021-05-25, o-127.31, h-127.34, l-127.31, c-127.34, v-558, oi-0.0
2021-05-25, o-127.41, h-127.41, l-127.41, c-127.41, v-305, oi-0.0
2021-05-25, o-127.27, h-127.34, l-127.26, c-127.3, v-1349, oi-0.0
2021-05-25, o-127.305, h-127.305, l-127.26, c-127.29, v-302, oi-0.0
2021-05-25, o-127.26, h-127.325, l-127.26, c-127.325, v-756, oi-0.0
2021-05-25, o-127.345, h-127.345, l-127.23, c-127.31, v-829, oi-0.0
2021-05-25, o-127.31, h-127.385, l-127.31, c-127.34, v-647, oi-0.0
2021-05-25, o-127.37, h-127.49, l-127.37, c-127.475, v-1213, oi-0.0
2021-05-25, o-127.45, h-127.45, l-127.39, c-127.415, v-661, oi-0.0
2021-05-25, o-127.455, h-127.59, l-127.4, c-127.57, v-952, oi-0.0
2021-05-25, o-127.68, h-127.68, l-127.575, c-127.575, v-471, oi-0.0
2021-05-25, o-127.49, h-127.545, l-127.215, c-127.29, v-1049, oi-0.0
2021-05-25, o-127.29, h-127.55, l-127.285, c-127.55, v-1018, oi-0.0
2021-05-25, o-127.515, h-127.57, l-127.48, c-127.51, v-1247, oi-0.0
2021-05-25, o-127.6, h-127.63, l-127.51, c-127.51, v-1497, oi-0.0
2021-05-25, o-127.46, h-127.58, l-127.39, c-127.51, v-3888, oi-0.0
2021-05-25, o-127.39, h-127.51, l-127.39, c-127.51, v-6555, oi-0.0
2021-05-26, o-128.31, h-128.31, l-128.01, c-128.13, v-1647, oi-0.0
2021-05-26, o-128.51, h-128.58, l-128.38, c-128.38, v-969, oi-0.0
2021-05-26, o-128.54, h-128.64, l-128.505, c-128.6, v-1187, oi-0.0
2021-05-26, o-128.83, h-128.895, l-128.71, c-128.77, v-938, oi-0.0
2021-05-26, o-128.85, h-129.055, l-128.85, c-128.85, v-1733, oi-0.0
2021-05-26, o-128.81, h-128.935, l-128.73, c-128.76, v-1848, oi-0.0
2021-05-26, o-128.675, h-128.675, l-128.19, c-128.27, v-1657, oi-0.0
2021-05-26, o-128.485, h-128.6, l-128.415, c-128.6, v-570, oi-0.0
2021-05-26, o-128.64, h-128.64, l-128.27, c-128.275, v-764, oi-0.0
2021-05-26, o-128.33, h-128.525, l-128.33, c-128.35, v-868, oi-0.0
2021-05-26, o-128.33, h-128.365, l-128.33, c-128.365, v-769, oi-0.0
2021-05-26, o-128.4, h-128.4, l-128.03, c-128.185, v-1413, oi-0.0
2021-05-26, o-128.14, h-128.38, l-128.07, c-128.38, v-1699, oi-0.0
2021-05-26, o-128.33, h-128.33, l-128.09, c-128.09, v-812, oi-0.0
2021-05-26, o-128.12, h-128.15, l-128, c-128.02, v-1160, oi-0.0
2021-05-26, o-128.27, h-128.295, l-128.21, c-128.26, v-1413, oi-0.0
2021-05-26, o-128.29, h-128.405, l-128.29, c-128.37, v-2554, oi-0.0
2021-05-26, o-128.37, h-128.39, l-128.295, c-128.295, v-1305, oi-0.0
2021-05-26, o-128.16, h-128.16, l-127.73, c-127.73, v-999, oi-0.0
2021-05-26, o-127.695, h-127.81, l-127.695, c-127.77, v-796, oi-0.0
2021-05-26, o-127.705, h-127.85, l-127.705, c-127.85, v-416, oi-0.0
2021-05-26, o-127.87, h-127.93, l-127.835, c-127.915, v-998, oi-0.0
2021-05-26, o-127.87, h-127.87, l-127.79, c-127.79, v-912, oi-0.0
2021-05-26, o-127.75, h-127.75, l-127.63, c-127.63, v-220, oi-0.0
2021-05-26, o-127.61, h-127.61, l-127.25, c-127.25, v-203, oi-0.0
2021-05-26, o-127.26, h-127.39, l-127.26, c-127.39, v-427, oi-0.0
