Date, Open, High, Low, Close, Volume, Open Interest
2021-03-17, o-125.375, h-126.54, l-124.82, c-124.91, v-3325812, oi-0.0
2021-03-18, o-124.73, h-125.71, l-122.96, c-124.18, v-6106660, oi-0.0
2021-03-21, o-124.66, h-127.1, l-124.64, c-126.12, v-3963903, oi-0.0
2021-03-22, o-126.94, h-127.33, l-124.22, c-124.35, v-2968199, oi-0.0
2021-03-23, o-125.2771, h-125.3, l-122.31, c-122.335, v-2923170, oi-0.0
2021-03-24, o-124.21, h-124.28, l-121.15, c-123.49, v-3665336, oi-0.0
2021-03-25, o-124.27, h-124.7199, l-121.0238, c-122.95, v-3643942, oi-0.0
2021-03-28, o-122.56, h-124.67, l-121.9, c-123.53, v-2861352, oi-0.0
2021-03-29, o-123.53, h-125.385, l-122.2818, c-124.75, v-3803168, oi-0.0
2021-03-30, o-124.247, h-125.93, l-124.15, c-125.46, v-3141144, oi-0.0
2021-03-31, o-125.86, h-127.66, l-124.85, c-127.65, v-3625290, oi-0.0
2021-04-04, o-128.39, h-131.66, l-128.23, c-131.39, v-3755369, oi-0.0
2021-04-05, o-130.37, h-131.99, l-130.37, c-131.44, v-2710968, oi-0.0
2021-04-06, o-131.1, h-131.1, l-129.09, c-130.11, v-2345420, oi-0.0
2021-04-07, o-130.88, h-130.9063, l-129.61, c-130.11, v-1946599, oi-0.0
2021-04-08, o-130.53, h-130.53, l-128.18, c-129.04, v-1880343, oi-0.0
2021-04-11, o-128.49, h-131, l-128.23, c-130.76, v-1880099, oi-0.0
2021-04-12, o-130.3, h-131.2, l-129.67, c-130.8, v-2190202, oi-0.0
2021-04-13, o-130.55, h-130.79, l-129.61, c-129.98, v-2143275, oi-0.0
2021-04-14, o-131.1, h-131.8, l-130.12, c-131.46, v-2471732, oi-0.0
2021-04-15, o-131.99, h-133.55, l-131.315, c-133.05, v-3048466, oi-0.0
2021-04-18, o-133.56, h-133.64, l-131.92, c-131.98, v-1939387, oi-0.0
2021-04-19, o-131.7, h-131.7, l-128.48, c-130.53, v-2782156, oi-0.0
2021-04-20, o-130.93, h-132.5, l-129.81, c-132.09, v-2287954, oi-0.0
2021-04-21, o-132, h-132.88, l-130.59, c-131.73, v-2544216, oi-0.0
2021-04-22, o-131.76, h-133.905, l-131.4, c-133.3, v-2459516, oi-0.0
2021-04-25, o-133.39, h-133.41, l-131.905, c-132.5, v-1900852, oi-0.0
2021-04-26, o-133.12, h-133.24, l-131.48, c-133.02, v-2334879, oi-0.0
2021-04-27, o-132.35, h-132.635, l-131.53, c-132.1, v-1688501, oi-0.0
2021-04-28, o-132.16, h-134.07, l-132.15, c-133.97, v-2763190, oi-0.0
2021-04-29, o-133.07, h-133.18, l-131.51, c-132.14, v-3377855, oi-0.0
2021-05-02, o-132.55, h-132.78, l-130.91, c-131.45, v-3726985, oi-0.0
2021-05-03, o-130.89, h-131.13, l-127.09, c-128.68, v-3861110, oi-0.0
2021-05-04, o-131.46, h-135.33, l-131.42, c-134.13, v-8165387, oi-0.0
2021-05-05, o-133.7, h-138.98, l-132.21, c-138.91, v-7532594, oi-0.0
2021-05-06, o-138.6, h-140.19, l-138.35, c-139.1, v-5001561, oi-0.0
2021-05-09, o-138.48, h-139.72, l-135.69, c-135.76, v-3899840, oi-0.0
2021-05-10, o-135.16, h-138.25, l-134.6686, c-137.99, v-2669601, oi-0.0
2021-05-11, o-136.22, h-137.38, l-135.85, c-136.64, v-3144021, oi-0.0
2021-05-12, o-137.07, h-139.1, l-136.45, c-138.12, v-3171107, oi-0.0
2021-05-13, o-138.44, h-143.09, l-138.73, c-141.54, v-4707205, oi-0.0
2021-05-16, o-140.15, h-140.47, l-139.17, c-140.22, v-4347496, oi-0.0
2021-05-17, o-139.98, h-139.98, l-134.86, c-134.995, v-7244005, oi-0.0
2021-05-18, o-133.67, h-134.67, l-132.49, c-134.33, v-5660826, oi-0.0
2021-05-19, o-134.49, h-136.68, l-134.3, c-136.2, v-3868221, oi-0.0
2021-05-20, o-137.01, h-137.43, l-135.79, c-136.1, v-2804186, oi-0.0
