Date, Open, High, Low, Close, Volume, Open Interest
2021-03-31, o-216.01, h-228, l-212.25, c-223.35, v-3142716, oi-0.0
2021-04-04, o-224.33, h-225, l-218.5001, c-221.27, v-1028171, oi-0.0
2021-04-05, o-221.34, h-227.185, l-218.8, c-223.5, v-797342, oi-0.0
2021-04-06, o-224.44, h-223.15, l-217.27, c-218, v-786943, oi-0.0
2021-04-07, o-221.77, h-224.7899, l-219.01, c-224.12, v-2327414, oi-0.0
2021-04-08, o-223.85, h-225.87, l-218.7, c-225.36, v-1481471, oi-0.0
2021-04-11, o-225.11, h-234.91, l-224.63, c-230.79, v-1400009, oi-0.0
2021-04-12, o-234.9, h-243.4, l-234.05, c-242.19, v-1529851, oi-0.0
2021-04-13, o-244.01, h-244.93, l-231.09, c-231.45, v-1948391, oi-0.0
2021-04-14, o-233.69, h-240.85, l-233.1, c-239.12, v-1047605, oi-0.0
2021-04-15, o-239.54, h-239.25, l-233.08, c-234.94, v-820560, oi-0.0
2021-04-18, o-233.59, h-236, l-227.82, c-228.22, v-814731, oi-0.0
2021-04-19, o-227.55, h-230.72, l-224.53, c-226.32, v-782766, oi-0.0
2021-04-20, o-225.16, h-227.61, l-222, c-226.45, v-847401, oi-0.0
2021-04-21, o-226, h-232.475, l-225.05, c-228.49, v-811753, oi-0.0
2021-04-22, o-229.41, h-232.305, l-228.45, c-230.4501, v-487692, oi-0.0
2021-04-25, o-230.46, h-236.738, l-227.66, c-236.5, v-667099, oi-0.0
2021-04-26, o-237.03, h-237.9, l-232.11, c-236.16, v-660542, oi-0.0
2021-04-27, o-235.01, h-237.77, l-232.83, c-235.73, v-512819, oi-0.0
2021-04-28, o-235.17, h-235.9999, l-224.48, c-228.41, v-1255635, oi-0.0
2021-04-29, o-231.05, h-241, l-230, c-237.61, v-2881165, oi-0.0
2021-05-02, o-239.57, h-238.31, l-227.7, c-230.05, v-1531160, oi-0.0
2021-05-03, o-226.47, h-226.8, l-218.58, c-225.03, v-2164647, oi-0.0
2021-05-04, o-226.73, h-231.24, l-222.305, c-223.49, v-707784, oi-0.0
2021-05-05, o-221.98, h-221.98, l-214.61, c-218.77, v-1048320, oi-0.0
2021-05-06, o-223.99, h-227, l-219.01, c-219.77, v-778992, oi-0.0
2021-05-09, o-216.57, h-218.25, l-213.4, c-215.83, v-1178253, oi-0.0
2021-05-10, o-208.67, h-226.69, l-207.83, c-224.5, v-2246133, oi-0.0
2021-05-11, o-216.36, h-225.17, l-215.79, c-223.89, v-1758711, oi-0.0
2021-05-12, o-226.05, h-229.5, l-212, c-212.3, v-1930004, oi-0.0
2021-05-13, o-217.7, h-218.84, l-212.57, c-214.98, v-2739648, oi-0.0
2021-05-16, o-213.9, h-214.85, l-208.21, c-212.29, v-1907772, oi-0.0
2021-05-17, o-214.18, h-220.41, l-213.5, c-217.02, v-1632420, oi-0.0
2021-05-18, o-211.91, h-216.58, l-209.275, c-216.18, v-1696670, oi-0.0
2021-05-19, o-218.99, h-227.15, l-218.14, c-224.7, v-2326347, oi-0.0
2021-05-20, o-224.8, h-226.9, l-221.49, c-223.66, v-1867831, oi-0.0
