Date, Open, High, Low, Close, Volume, Open Interest
2021-01-11 23:00:00, 133.28, 135.74, 132.91, 134.48, 554470, 0.0
2021-01-12 23:00:00, 134.38, 136.23, 134.1, 135, 842345, 0.0
2021-01-13 23:00:00, 135.18, 136.21, 134.45, 134.75, 584432, 0.0
2021-01-14 23:00:00, 134.21, 134.64, 131.17, 133.755, 692865, 0.0
2021-01-18 23:00:00, 133.45, 134.88, 130.01, 132.97, 556270, 0.0
2021-01-19 23:00:00, 133.85, 136.815, 133.1, 136.15, 652609, 0.0
2021-01-20 23:00:00, 135.83, 137.8, 134.76, 137.72, 568414, 0.0
2021-01-21 23:00:00, 136.49, 137.25, 135.32, 135.32, 658868, 0.0
2021-01-24 23:00:00, 135.82, 137.01, 134.84, 135.16, 369063, 0.0
2021-01-25 23:00:00, 136.14, 136.14, 133.21, 134.24, 361182, 0.0
2021-01-26 23:00:00, 132.96, 134.2887, 130.355, 133.09, 820826, 0.0
2021-01-27 23:00:00, 133.63, 136.41, 132.65, 134.51, 895091, 0.0
2021-01-28 23:00:00, 133.26, 134.41, 130.22, 131.61, 740870, 0.0
2021-01-31 23:00:00, 133.47, 139.31, 132.71, 138.16, 1126062, 0.0
2021-02-01 23:00:00, 138.74, 142.4, 138.37, 141.51, 622765, 0.0
2021-02-02 23:00:00, 140.53, 141.92, 139.37, 141.01, 632827, 0.0
2021-02-03 23:00:00, 145.71, 149.99, 144.82, 149.98, 1077599, 0.0
2021-02-04 23:00:00, 151.2729, 151.2729, 147.52, 151.14, 513564, 0.0
2021-02-07 23:00:00, 152.08, 153.95, 150.02, 150.39, 1330352, 0.0
2021-02-08 23:00:00, 150.39, 151.75, 149.27, 151.7, 669141, 0.0
2021-02-09 23:00:00, 155.26, 157.94, 154.31, 157.12, 882001, 0.0
2021-02-10 23:00:00, 156.98, 157.1, 154.155, 156.995, 599531, 0.0
2021-02-11 23:00:00, 157.02, 157.02, 154.41, 155.4, 488496, 0.0
2021-02-15 23:00:00, 154.78, 156.77, 154.66, 155.93, 599070, 0.0
2021-02-16 23:00:00, 155.61, 158.58, 154.3, 157.8, 691279, 0.0
2021-02-17 23:00:00, 156.8, 158.08, 156.55, 156.64, 545841, 0.0
2021-02-18 23:00:00, 157.25, 162.42, 156.8022, 160.71, 887745, 0.0
2021-02-21 23:00:00, 158.6, 160.78, 158.32, 159.28, 484796, 0.0
2021-02-22 23:00:00, 158.46, 158.46, 154.43, 157.16, 669734, 0.0
2021-02-23 23:00:00, 154.63, 162.73, 154.01, 162.12, 586731, 0.0
2021-02-24 23:00:00, 160.97, 161.415, 156.51, 156.89, 681691, 0.0
2021-02-25 23:00:00, 158.36, 159.71, 155.67, 156.76, 719448, 0.0
2021-02-28 23:00:00, 160.1, 161.86, 158.62, 160.6, 614265, 0.0
2021-03-01 23:00:00, 160, 160.81, 156.84, 156.85, 584716, 0.0
2021-03-02 23:00:00, 156.49, 157, 154.38, 155.64, 735452, 0.0
2021-03-03 23:00:00, 154.88, 155.78, 148.91, 151.31, 961219, 0.0
2021-03-04 23:00:00, 153.82, 155.25, 149.215, 154.48, 782877, 0.0
2021-03-07 23:00:00, 154.07, 157.2, 152.905, 155.15, 626130, 0.0
2021-03-08 23:00:00, 155.87, 157.32, 154.17, 154.47, 680454, 0.0
2021-03-09 23:00:00, 155.67, 158.27, 154.295, 156.44, 587347, 0.0
2021-03-10 23:00:00, 157.11, 161.015, 156.18, 159.99, 540768, 0.0
2021-03-11 23:00:00, 161.02, 162, 158.99, 160.07, 417487, 0.0
2021-03-14 23:00:00, 159.69, 161.34, 158.5, 161.28, 419919, 0.0
2021-03-15 23:00:00, 162.13, 162.2, 160.02, 160.97, 442897, 0.0
2021-03-16 23:00:00, 160.15, 160.63, 157.57, 160.42, 452456, 0.0
2021-03-17 23:00:00, 157.3, 159.915, 156.59, 157.1, 618461, 0.0
2021-03-18 23:00:00, 156.27, 159.42, 154.74, 157.93, 779257, 0.0
2021-03-21 23:00:00, 158.2, 160.35, 157.18, 159.3, 474537, 0.0
2021-03-22 23:00:00, 158.85, 159.925, 155.175, 156.06, 651637, 0.0
2021-03-23 23:00:00, 157.23, 159.63, 156.1, 156.49, 593820, 0.0
2021-03-24 23:00:00, 156.015, 160.4, 154.53, 159.62, 836572, 0.0
2021-03-25 23:00:00, 158.75, 168.03, 158.59, 167.96, 1133299, 0.0
2021-03-28 23:00:00, 167.74, 168.96, 163.8, 165.19, 726178, 0.0
2021-03-29 23:00:00, 163.97, 165.33, 161.34, 164.81, 443890, 0.0
2021-03-30 23:00:00, 165.77, 166.4, 164.0597, 165.78, 461629, 0.0
2021-03-31 23:00:00, 167.63, 169.64, 166.59, 169.51, 588613, 0.0
2021-04-04 23:00:00, 170.4, 172.79, 169.5, 171.54, 555577, 0.0
2021-04-05 23:00:00, 170.79, 171.56, 169.56, 171.49, 454418, 0.0
2021-04-06 23:00:00, 171.01, 171.3, 169.85, 170.2, 411500, 0.0
2021-04-07 23:00:00, 176.33, 176.33, 172.18, 174.68, 640273, 0.0
2021-04-08 23:00:00, 173.8, 175.68, 172.7, 175.58, 702113, 0.0
2021-04-11 23:00:00, 175.76, 175.56, 173.32, 174.2, 490716, 0.0
2021-04-12 23:00:00, 174.05, 176.18, 173.59, 175.89, 429552, 0.0
2021-04-13 23:00:00, 176.99, 178.93, 175.44, 178.11, 998467, 0.0
2021-04-14 23:00:00, 178.78, 181.04, 176.92, 180.75, 753814, 0.0
2021-04-15 23:00:00, 184.46, 184.58, 181.575, 183.9, 823419, 0.0
2021-04-18 23:00:00, 185.48, 184.0558, 181.91, 182.25, 696525, 0.0
2021-04-19 23:00:00, 181.31, 183.63, 179.72, 180.77, 688327, 0.0
2021-04-20 23:00:00, 181.38, 182.61, 180.8, 181.76, 676960, 0.0
2021-04-21 23:00:00, 182.67, 183.11, 180.26, 180.85, 441333, 0.0
2021-04-22 23:00:00, 181.77, 183.52, 180.93, 182.61, 632764, 0.0
2021-04-25 23:00:00, 182.76, 184, 181.64, 183.12, 516396, 0.0
2021-04-26 23:00:00, 183.01, 183.72, 181.67, 183.49, 351888, 0.0
2021-04-27 23:00:00, 183.43, 183.85, 181.105, 182.1, 347638, 0.0
2021-04-28 23:00:00, 183.22, 184.02, 181.95, 182.47, 428022, 0.0
2021-04-29 23:00:00, 181.46, 181.46, 177.86, 178.42, 673993, 0.0
2021-05-02 23:00:00, 180.3, 180.77, 177.512, 179.15, 633213, 0.0
2021-05-03 23:00:00, 178.56, 179.095, 175.02, 176.405, 822795, 0.0
2021-05-04 23:00:00, 174.645, 176, 169.04, 171.38, 1320901, 0.0
2021-05-05 23:00:00, 171.06, 172.92, 166.41, 172.71, 1190132, 0.0
2021-05-06 23:00:00, 173.05, 175.38, 171.97, 174.88, 680440, 0.0
2021-05-09 23:00:00, 174.87, 175.39, 171.4, 171.42, 437395, 0.0
2021-05-10 23:00:00, 168.6, 169.64, 166.66, 167.65, 1290954, 0.0
2021-05-11 23:00:00, 164.63, 166.43, 162.57, 163.38, 986490, 0.0
2021-05-12 23:00:00, 164.91, 169.76, 163.66, 168.53, 1135680, 0.0
2021-05-13 23:00:00, 169.88, 170.06, 166.35, 169.46, 696374, 0.0
2021-05-16 23:00:00, 167.69, 169.27, 166.62, 169.14, 532393, 0.0
2021-05-17 23:00:00, 169.56, 169.84, 167.8, 167.87, 616547, 0.0
2021-05-18 23:00:00, 164.92, 168.24, 164.3483, 168.03, 467405, 0.0
2021-05-19 23:00:00, 168.03, 168.76, 166.855, 168.06, 706821, 0.0
2021-05-20 23:00:00, 168.52, 169.7601, 167.18, 168.07, 441034, 0.0
2021-05-23 23:00:00, 169.23, 169.9781, 168.03, 168.53, 385881, 0.0
2021-05-24 23:00:00, 169.59, 169.85, 166.36, 166.76, 366249, 0.0
2021-05-25 23:00:00, 166.8, 167.37, 164.94, 165.42, 142089, 0.0
